Title,ISBN,Price,Author,Publisher,Publication time,Place of Publication,Pages,Classification Number,总借入,总续借,总借入和续借量,平均借阅时间(天),Classification
Life is Elsewhere,9780571197774.0,35.0,"Kundera, Milan",Faber and Faber,2000-11-04,英国,,891.86,1,0,1,1.75,Literature
Little Fires Everywhere(EXP),9780735224315.0,49.0,Celeste Ng,Penguin USA,2019-05-07,美国,,813.6,1,0,1,14.3,Literature
Lord of the Flies,9780399533372.0,90.0,William Golding,PENGUIN Group (USA) Inc.,2006-10-01,,225,823.914,2,2,4,49.01,Literature
Lost in translation : an illustrated compendium of untranslatable words from around the world,9781607747109.0,63.0,"Sanders, Ella Frances",Ten Speed Press,2014,New York,,410,1,1,2,48.78,Language
MH's PSAT/NMSQT,9780071742115.0,180.0,McGraw-Hill's,,,,469,IB-7-R.B-1,1,0,1,,General / Misc
Mark Zuckerberg: In His Own Words (In Their Own Words Series),9781572842625.0,34.0,Harvard Business Review,Harvard Business Review Press,2018-08-14,美国,,006.70,1,0,1,0.04,General / Misc
Mathematics: Analysis and Approaches HL,9781925489590.0,387.0,Michael Haese,,,,,IB-5-M-1,1,1,2,0.0,Mathematics
My Name Is Red,9780375706851.0,50.0,Orhan Pamuk,Vintage USA,2002-08-27,美国,,894.35,1,0,1,27.36,Literature
"Mythology: Timeless Tales of Gods and Heroes, 75th Anniversary Illustrated Edition",9780316438520.0,122.0,Edith Hamilton,Black Dog Books,2017-09-26,美国,,813.54,1,1,2,60.98,Literature
"NEW Cambridge IGCSE First Language English Teacher's Resource, 5e",9781108438940.0,385.0,Marian Cox,Cambridge,2018.09,UK,,AL-2-E-1,1,0,1,,General / Misc
NFT元宇宙经济通证,9787576321777.0,69.0,郭小川著,北京理工大学出版社有限责任公司,2023,北京,"11,216页",TP311.135,1,0,1,23.98,Science
Neuromancer (The Best of the SF Masterworks),9781399607773.0,37.0,William Gibson,Orion Publishing Group,2022-11-24,英国,,813.54,1,0,1,23.92,Literature
Never let me go,9780571258093.0,72.0,"Ishiguro, Kazuo",Faber and Faber,,London,282,823.914,2,2,4,49.01,Literature
Normal people : a novel,9781984822185.0,26.0,"Rooney, Sally; Baardman, Gerda",Hogarth,2020,USA,287,823.92,1,0,1,5.18,Literature
Paper Towns,9780142414934.0,148.0,John Green,Speak,2009.09,USA,,813.6,1,0,1,,Literature
Pearson Biology for the IB Diploma Standard Level,9781292427737.0,335.0,,Pearson Education Limited,2023-04-19,,656,IB-4-BI-2,1,0,1,,Science
Pearson Chemistry for the IB Diploma SL,9781292427690.0,335.0,"Brown, Catrin; Ford, Mike; Canning, Oliver; Economou, Andreas; Irwin, Garth",Pearson Education Limited,2023-04-14,London,656,IB-4-CH-3,2,0,2,31.08,Science
Penguin Classics Deluxe Edition: Dracula,9780143106166.0,54.0,Bram Stoker,Penguin USA,2010-11-30,美国,,823.8,1,1,2,105.62,Literature
Percy Jackson and the Lightning Thief (Percy Jackson & the O,9780141329994.0,28.0,Rick Riordan,Penguin UK,2016-11-09,英国,,813.6,1,0,1,,Literature
Persuasion,9780062065988.0,44.95,Jane Austen,HarperTeen,2011      ,New York,"295,18p.  ",823.7,1,0,1,24.01,Literature
Peter Pan,9781909621633.0,51.0,"Barrie, J. M.",Macmillan,,London,200,823.912,1,0,1,31.79,Literature
Philosophy 101,9781440567674.0,61.0,Paul Kleinman,Adams Media,2013-10-18,美国,,100,1,0,1,103.88,General / Misc
Philosophy of Science: Very Short Introduction,9780198745587.0,53.0,"Okasha, Samir",Oxford University Press UK,2016-07-28,英国,,193,1,1,2,,General / Misc
Physics for Scientists and Engineers with Modern Physics Pearson New International Edition,9781292020761.0,1059.0,"Giancoli, Douglas C.",Pearson Education Limited,2013-07-29,,1440,IB-4-PH-5,2,1,3,133.39,Science
Physics for the IB Diploma Coursebook with Digital Access (2 Years),9781009071888.0,418.0,"Tsokos, K. A.",Cambridge University Press,2023-06-22,,530 页,IB-4-PH-5,2,0,2,83.04,Science
Physics for the IB Diploma Workbook with Digital Access (2 Years),9781009071901.0,179.0,"Farrington, Mark",Cambridge University Press,2023-06-29,,400 页,IB-4-PH-5,1,0,1,,Science
Physics-Giancoli,9780130606204.0,695.0,Douglas C.Giancoli,Pearson,2005      ,,946页     ,IB-4-PH-5,1,0,1,,Science
Physics: Principles with Applications,9781292057125.0,609.0,Douglas C. Giancoli,Pearson,2016      ,England,1080p.    ,IB-4-PH-5,3,0,3,256.01,Science
Python编程 ：从入门到实践,9787115546081.0,109.8,"(美)马瑟斯 (Matthes, Eric) 著", 人民邮电出版社, 2020,北京 ,"18,444页 ",TP311.561,1,1,2,73.63,Science
Science of Gardening,9780241559253.0,91.0,"Farrimond, Dr. Stuart",Dorling Kindersley Ltd,2023-03-02,美国,,635,1,0,1,46.99,Science
Secret Language of Flowers,9780241566220.0,59.0,DK,Dorling Kindersley Ltd,2023-01-05,美国,,398.36,1,0,1,52.96,Social Sciences
Sense & Sensibility,9780062015631.0,44.95,Jane Austen,HarperTeen,2011      ,New York,"441,16p.  ",823.7,1,0,1,0.02,Literature
Sex And The City,9780446617680.0,35.0,Candace Bushnell,Grand Central Publishing,2006-08-01,美国,,813.6,1,0,1,,Literature
Sherlock Holmes: Vol 1,9780553212419.0,27.5,Sir Arthur Conan Doyle,Bantam Classics,1986-11-01,美国,1059,823.8,1,0,1,34.32,Literature
Signet Classics: Tales From Shakespeare,9780451530646.0,9.0,Charles Lamb,Signet,2007-06-05,美国,,822.33,1,1,2,36.75,Literature
Signet Classics: Wuthering Heights,9780451531797.0,9.0,Emily Bronte,Signet,2011-03-01,美国,,823.8,1,1,2,45.76,Literature
Small Pleasures,9781474613903.0,47.0,Clare Chambers,Orion Publishing Group,2021-04-29,英国,,823.91,1,0,1,41.55,Literature
Smile,9781338740264.0,77.0,"Telgemeier, Raina",Graphix,2020-11-10,美国,224,617.6,1,0,1,20.12,Science
Statistics for The Behavioral Sciences,9781305504912.0,407.0,Frederick Gravetter； Larry Wallnau,Cengage,2016-01-01,美国,,519.50,1,0,1,42.89,Science
Stock Market 101,9781440599194.0,57.0,Michele Cagan,Adams Media,2011-04-16,美国,,332.64,1,0,1,11.1,Social Sciences
Surrounded by Idiots: The Four Types of Human Behavior and How to Effectively Communicate with Each in Business (and in Life),9781250255174.0,51.0,Thomas Erikson,St.Martins Press,2019-07-30,美国,,302.2,1,0,1,1.81,Social Sciences
The 6:2 Man,9781529061963.0,63.0,David Baldacci,Macmillan UK,2022-07-21,英国,,813.6,1,0,1,,Literature
The A.B.C. murders,9780062930484.0,105.0,"Christie, Agatha",William Morrow,2019,New York,252,823.912,1,1,2,49.7,Literature
The Adventure of the Blue Carbuncle,9780241597002.0,47.0,Arthur Conan Doyle,Penguin UK,2022-11-03,英国,,808.8,2,1,3,52.08,Literature
The Art of Racing in the Rain Intl,9780062023063.0,70.0,Garth Stein,HARPER COLLINS US BRAND CODE,2010-08-31,,0,813.54,1,0,1,7.03,Literature
The Bible book,9780241301906.0,89.0,DK,DK,2018-03-01,英国,,220.61,1,0,1,47.01,Social Sciences
The Birth of Classical Europe: A History from Troy to Augustine,9780143120452.0,130.0,Simon Price,Penguin Books,,,0,938,1,1,2,49.68,Social Sciences
The Black Swan,9780812973815.0,76.0,Nassim Nicholas Taleb,Random House US,2010-05-11,美国,,003.54,1,1,2,,General / Misc
The Call of the Wild,9780141321059.0,55.0,Jack London,Penguin Group,1903      ,England,133页     ,813.52,1,0,1,126.93,Literature
The Castle,9780241197806.0,29.0,Franz Kafka,Penguin UK,2010-01-01,英国,,833.91,1,0,1,40.09,Literature
The Chalk Man,9781405930956.0,35.0,CJ Tudor,Penguin UK,2018-08-23,英国,,823.92,1,0,1,31.04,Literature
The Cider House Rules,9780552992046.0,38.0,John Irving,Black Swan Books,2010-07-29,英国,,813.54,1,0,1,49.18,Literature
The Complete Yes Minister: The Diaries of a ...,9780563206651.0,110.0,"Lynn, Jonathan; Jay, Anthony",BBC Books,1989-06-01,,514,823.914,1,0,1,25.02,Literature
The Complete Yes Prime Minister: The Diaries of ...,9780563207733.0,110.0,Jonathan Lynn and Sir Anthony Jay,Ebury Publishing,1989-06-01,,512,823.914,1,0,1,25.02,Literature
The Count of Monte Cristo,9781509827978.0,51.0,"Dumas, Alexandre, 1802-1870; Maquet, Auguste, 1813-1888; Fiorentino, Pier Angelo, 1811-1864",Macmillan Collectors Library,2017,UK,695,843.7,2,1,3,52.08,Literature
The Door into Summer,9780575120723.0,34.0,Robert A. Heinlein,Orion Publishing Group,2013-12-12,英国,,813.54,1,0,1,49.22,Literature
The Ender Quintet #5： Ender in Exile,9781250773111.0,31.0,Orson Scott Card,TOR Books,2021-08-24,美国,,813.54,1,0,1,56.88,Literature
The Gods Themselves,9780553288100.0,22.0,Isaac Asimov,Bantam Classics,1990-09-04,美国,,813.54,1,0,1,52.79,Literature
The Gospel of Loki,9781473202375.0,47.0,Joanne M Harris,Gollancz,2015-06-04,英国,,823.91,1,0,1,,Literature
The Great Adventures of Sherlock Holmes,9780141332499.0,24.95,Sir Arthur Conan Doyle;introduced by Jos,Puffin Books,2011      ,London,276p.     ,823.912,1,0,1,25.7,Literature
The Habsburg Empire: A Very Short Introduction,9780198792963.0,48.0,Martyn Rady,Oxford University Press UK,2017-06-01,英国,,943.60,1,0,1,7.77,Social Sciences
The Herb Book,9780241569504.0,136.0,DK,DK Publishing,2023-04-06,英国,,	635.7,2,1,3,72.17,Science
The Highly Sensitive Person,9780553062182.0,70.0,Elaine N. Aron,Harmony Books,1997-06-02,美国,,155.23,1,0,1,126.89,General / Misc
The History of the Decline and Fall of the Roman Empire:vol,9780140433937.0,83.0,Betty Friedan,Penguin UK,2016-01-12,英国,,937.06,1,0,1,5.07,Social Sciences
The Lost Hero (Heroes of Olympus Book 1),9780141325491.0,63.0,"Riordan, Rick",Penguin Random House Children's UK,2012-10-04,,576 页,741.5,1,0,1,98.97,Arts
The Lost Symbol,9781400079148.0,38.0,Dan Brown,Anchor Books,2010-10-19,美国,,813.54,1,0,1,56.88,Literature
The Martian (MTI),9781101905555.0,39.0,Andy Weir,Crown Publishers,2015-08-18,美国,,813.6,1,0,1,24.98,Literature
The Masque of the Red Death,9780241573754.0,47.0,Edgar Allan Poe,Penguin UK,2022-08-25,英国,,813.3,2,0,2,25.4,Literature
The O. Henry Prize Stories 1th Anniversary Edition (219),9780525565536.0,47.0,Laura Furman,Anchor Books,2019-09-10,美国,,808.83,1,1,2,49.96,Literature
The Official SAT Study Guide,9781457304309.0,161.0,The College Board,College Board,2016      ,US.,792p.     ,IB-7-R.B-1,1,0,1,,General / Misc
The Offing,9781526611307.0,48.0,Benjamin Myers,Bloomsbury UK,2020-03-05,英国,,823.92,1,1,2,28.89,Literature
The Pursuit of Glory,9780140166675.0,100.0,"Blanning, Tim",penguin uk,2008-02-28,英国,,940.25,1,0,1,,Social Sciences
The Rise of Rome : From the Iron Age to the Punic Wars (1 BC - 264 BC),9781846684128.0,81.0,Dr Kathryn Lomas,Profile Books,2018-07-05,英国,,937.01,1,0,1,,Social Sciences
The School of Life: How to Spend Time Alone,9780230768086.0,29.0,"Maitland, Sara",Macmillan UK,2014-01-02,英国,,155.92,1,0,1,126.89,General / Misc
The Tree Book: The Inside Story of Our Greatest Species,9780241487556.0,136.0,DK,DK Publishing,2022-03-31,英国,,582.16,2,2,4,62.45,Science
The complete Persepolis,9780375714832.0,113.0,"Satrapi, Marjane, 1969-",,,USA,,741.59,1,0,1,,Arts
The fellowship of the ring : being the first part of The lord of the rings,9780261103573.0,26.0,"Tolkien, J. R. R.",,,,407,823.912,2,0,2,75.98,Literature
The hobbit,9780261102217.0,55.0,"Tolkien, J. R. R.,","HarperCollinsPunlishers,",2006      ,London,389 pages ,823.912,1,0,1,127.05,Literature
"The hobbit, or, There and back again",9780345339683.0,0.0,"Tolkien, J. R. R. (John Ronald Reuel), 1892-1973; Anderson, Douglas A. 1959-",Del Rey Books,,,,823.912,2,1,3,44.88,Literature
The literature book,9780241015469.0,116.0,"Atkinson, Sam",DK,2016,London,352,809,1,0,1,11.0,Literature
The little world of Liz Climo,9780762452385.0,31.0,"Climo, Liz",Running Press,,,,741.569,1,0,1,,Arts
The psychology book,9781405391245.0,116.0,"Collin, Catherine (Clinical psychologist)",DK,2012,London,352,150,1,0,1,,General / Misc
The remains of the day,9780571322732.0,49.0,"Ishiguro, Kazuo",Faber and Faber,,London,258,823.914,1,0,1,24.01,Literature
"Thinking, fast and slow",9780141033570.0,55.0,"Kahneman, Daniel, 1934-; Kahneman, Daniel, 1934-",Penguin UK,2012,UK,499,153.42,1,0,1,,General / Misc
To the Lighthouse (PMC) Virginia Woolf,9780141183411.0,29.0,Virginia Woolf,Penguin UK,2000-10-26,英国,,823.91,1,0,1,,Literature
Treasure Island,9781847494863.0,32.0,"Stevenson, Robert Louis",Alma Books,2016-12-01,英国,,823.8,2,0,2,22.43,Literature
Trump: How to Get Rich,9780345481030.0,35.0,Donald J. Trump,Random House US,2004-12-28,美国,,650,1,0,1,4.91,Science
"Tuesdays with Morrie : an old man, a young man, and life's greatest lesson",9780385496490.0,60.0,"Albom, Mitch",Random House,1997,New York,192,378.120,1,0,1,29.24,Social Sciences
Twilight ,9781907410482.0,75.0,"Meyer, Stephenie,","Atom,",2010      ,London,434 pages ,813.6,1,0,1,20.0,Literature
Unraveller,9781529080407.0,100.0,"Hardinge, Frances",Pan Macmillan,2022-09-01,,416,823.92,1,1,2,89.64,Literature
What You Can See From Here,9781526638540.0,56.0,Nicole Krauss,Bloomsbury UK,2021-07-22,英国,,833.92,1,0,1,24.0,Literature
Word Cloud Classics: The Age Of Innocence,9781626860568.0,44.0,Edith Wharton,Canterbury Classics,2014-05-01,美国,,813.52,2,0,2,60.54,Literature
Wordsworth: Jane Eyre,9781853260209.0,13.0,Bronte,Wordsworth,1992-05-05,英国,,823.8,1,0,1,271.39,Literature
Wordsworth: Little Prince,9781853261589.0,13.0,Saint-Exupery,Wordsworth,2010-11-01,英国,,843.912,1,0,1,19.0,Literature
never let me go,9780571224142.0,35.0,Kazuo Ishiguro,Faber and Faber,2006-03-14,英国,,823.91,2,0,2,18.01,Literature
physics workbook with CD-ROM,9781316634929.0,167.0,Mark Farrington,Cambridge University Pre,2017      ,New York,242p.     ,IB-4-PH-5,1,1,2,,Science
“鸟人”应该知道的鸟问题,9787301312315.0,64.0,"(美)劳拉·埃里克森 (Erickson, Laura) 著",北京大学出版社,2020,北京,372页 : 彩图,Q959.7-49,1,0,1,3.13,Science
一个女孩的记忆,9787208178335.0,48.0,（法）埃尔诺著,上海人民出版社,2022,上海,139页,I565.45,1,0,1,0.79,Literature
一地鸡毛,9787536096608.0,60.0,刘震云 著,花城出版社,2022,广州,503页,I247.7,1,0,1,231.88,Literature
万历十五年,9787101101621.0,65.0,(美)黄仁宇著,中华书局,2014.08   ,北京,387页     ,K248.307,1,0,1,38.98,Social Sciences
万尼亚舅舅·三姊妹·樱桃园,9787532766642.0,56.0,契诃夫,上海译文出版社,2014.09   ,上海,288页     ,I512.34,1,0,1,5.8,Literature
万物归一,9787559823168.0,45.0,（美）狄勒德著,广西师范大学出版社,2022,桂林,110页,I712.65,2,1,3,4.7,Literature
三匹马,9787533955663.0,45.0,莫言著,浙江文艺出版社,2019,杭州,259页,I247.7,1,0,1,19.04,Literature
三国演义. 上,9787101067316.0,47.0,(明)罗贯中 (1330?~1400?) 著, 中华书局, 2009,北京 ,2册(721页) ,I242.4,1,1,2,,Literature
三国演义.上,9787020008728.0,20.0,(明)罗贯中著,人民文学出版社,2017.05   ,北京,463-990页 ,I242.4,2,1,3,37.79,Literature
三国演义.下,9787020008728.0,19.5,(明)罗贯中著,人民文学出版社,2017.05   ,北京,463-990页 ,I242.4,1,0,1,86.96,Literature
三幕悲剧,9787513332538.0,39.0,（英）克里斯蒂著,新星出版社,2018.11,,236页,I561.45,1,0,1,14.29,Literature
不再等待戈多,9787550733145.0,38.0,贝瑟里著,海天出版社,2022,深圳,226页,I565.45,1,0,1,6.84,Literature
不可不知的36种电子元器件,9787115440969.0,49.0,张晓东著, 人民邮电出版社, 2017,北京 ,266页 : 图 ,TN-49,1,0,1,77.71,Science
"不完美,才美",9787550267381.0,55.0,海蓝博士著,北京联合出版公司,2016.01   ,北京,245页     ,B821-49,1,0,1,52.65,General / Misc
不平等社会：从石器时代到21世纪，人类如何应对不平等,9787521704495.0,98.0,"(美)沃尔特·沙伊德尔 (Scheidel, Walter) 著", 中信出版集团股份有限公司, 2019,北京 ,"21,501页 ",F036,1,0,1,,Social Sciences
不朽,9787532789900.0,79.0,（法）昆德拉著,上海译文出版社有限公司,2022,上海,468页,I565.45,1,0,1,6.0,Literature
与神作战,9787520156134.0,65.0,(英)惠特马什著,社会科学文献出版社·甲骨文工作室(分社),2020,北京,355页,B91,1,0,1,0.73,General / Misc
世界上最简单的会计书 ,9787111442585.0,49.0,"(美)达雷尔·穆利斯 (Mullis, Darrell) 著", 机械工业出版社, 2013,北京 ,200页 ,F230,1,1,2,,Social Sciences
世界历史上的蒙古征服,9787513916387.0,68.0,(美)梅天穆著,民主与建设出版社,2017.10   ,北京,377页     ,K13,1,0,1,2.79,Social Sciences
世界尽头的咖啡馆 ,9787201146171.0,45.0,"(美)施特雷勒基 (P. Strelecky, John 1969~) 著", 天津人民出版社, 2019,天津 ,122页 ,B821-49,1,0,1,20.19,General / Misc
世界摄影史,9787551429993.0,39.0,顾铮著,杭州 浙江摄影出版社 2020,2020,杭州,195,J409.1,1,0,1,98.2,Arts
世界的凛冬1,9787539999074.0,44.0,(英)福莱特著,江苏凤凰文艺出版社,2017.2    ,南京,341页     ,I561.45,1,0,1,41.57,Literature
世界的凛冬·Ⅱ,9787539999074.0,44.0,(英)福莱特著,江苏凤凰文艺出版社,2017.2    ,南京,397页     ,I561.45,1,0,1,41.57,Literature
世界的凛冬·Ⅲ,9787539999074.0,44.0,(英)福莱特著,江苏凤凰文艺出版社,2017.2    ,南京,341页     ,I561.45,1,0,1,41.57,Literature
世界简史,9787505743090.0,49.8,（美）房龙著,中国友谊出版公司,2018,北京,348页,K1,1,0,1,8.65,Social Sciences
世间的每一个清晨,9787559819628.0,22.5,（法）基尼亚尔著,广西师范大学出版社,2019,桂林,107页,I565.45,1,0,1,21.02,Literature
丛中鸟：观鸟的社会史,9787301292761.0,78.0,"(英)斯蒂芬·莫斯 (Moss, Stephen 1960~) 著", 北京大学出版社, 2019,北京 ,467页 : 图 ,Q959.7,1,0,1,25.13,Science
中国哲学如何登场 ,9787305242632.0,58.0,李泽厚 (1930~2021) 著, 南京大学出版社, 2021,南京 ,245页 ,B261,1,0,1,12.96,General / Misc
中国当代摄影景观 : 198-22,9787208170698.0,188.0,顾铮 (1959~) 著,上海人民出版社,2022,上海,422页 : 图，照片,J409.2,1,0,1,55.84,Arts
